Aerodromo_de_Destino,Aerodromo_de_Origem,CLS,Categoria_da_Aeronave,Classificacao_da_Ocorrência,Danos_a_Aeronave,Data_da_Ocorrencia,Descricao_do_Tipo,Fase_da_Operacao,Historico,Hora_da_Ocorrência,ICAO,Ilesos_Passageiros,Ilesos_Tripulantes,Latitude,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Fatais_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Lesoes_Leves_Tripulantes,Longitude,Matricula,Modelo,Municipio,Nome_do_Fabricante,Numero_da_Ficha,Numero_da_Ocorrencia,Numero_de_Assentos,Operacao,Operador,Operador_Padronizado,PMD,PSSO,Regiao,Tipo_ICAO,Tipo_de_Aerodromo,Tipo_de_Ocorrencia,UF
SWIT ,SDEN ,L2P,TPP,Acidente,Substancial,2023-09-07,EXCURSÃO DE PISTA,Pouso,"A aeronave decolou do aeródromo Costa Esmeralda (SDEN), no município de Porto Belo, SC, às 11h40min (UTC), com destino ao aeródromo Condomínio de Voo Itaipu (SWIT), no município de Santa Terezinha de Itaipu, PR, para realizar voo privado, com um piloto e cinco passageiros a bordo. Durante o pouso, às 13h40min (UTC), o trem de pouso direito da aeronave colapsou e a aeronave extrapolou o limite lateral esquerdo.",13:40:00,SWIT,5,1,"-25,2904",null,null,null,null,null,null,null,null,null,null,null,null,"-54,2629",PTRYQ,EMB-810D,SANTA TEREZINHA DE ITAIPU ,NEIVA,202320981368,38748,6,Voo Privado,JOSEMAR PASQUALOTTO JUNIOR,JOSEMAR PASQUALOTTO JUNIOR,2155,verdadeiro,Sul,PA34,Privado,RE,PR
SBPK,SBGR,L2J,TPR,Incidente,Nenhum,2023-04-07,COLISÃO COM AVE,Pouso,"A aeronave decolou do aeroporto de Guarulhos - Governador André Franco Montoro (SBGR), São Paulo, SP, com destino ao aeroporto João Simões Lopes Neto (SBPK), Pelotas, RS, a fim de realizar transporte aéreo público regular. Durante a fase de pouso, houve colisão da aeronave com um pássaro. A tripulação realizou os procedimentos previstos em manual e o pouso foi realizado normalmente. Não houve mais intercorrências.",21:45:00,SBPK,null,null,"-31,4258",null,null,null,null,null,null,null,null,null,null,null,null,"-52,1952",PRGEC,737-7EH,PELOTAS,BOEING COMPANY,202383420157,38947,148,Voo Regular,GOL LINHAS AEREAS S.A,GOL,66224,verdadeiro,Sul,B737,Público,BIRD,RS
APUA ,APUA ,L1T,TPP,Acidente,Substancial,2023-03-24,EXCURSÃO DE PISTA,Decolagem,"A aeronave iniciou decolagem da Área de Pouso para Uso Aeroagrícola (APUA) da Fazenda Carol, Sorriso, MT, por volta das 19h00min (UTC) a fim de realizar voo de pulverização. Durante a corrida no solo, a aeronave perdeu a reta para a esquerda, vindo a adentrar uma plantação de milho localizada na lateral da pista até a sua parada total.",19:00:00,Aeródromo não cadastrado,null,1,"-12,0548",null,null,null,null,null,null,null,null,null,null,null,null,"-55,4938",PTRDD,AT-402B,SORRISO ,AIR TRACTOR,2023821977,36736,1,Voo Privado,DALVIR TADEU ROSSATO,DALVIR TADEU ROSSATO,3175,verdadeiro,Centro-Oeste,AT3T,null,RE,MT
null,null,H1P,PRI,Acidente,Substancial,2021-01-05,VOO CONTROLADO CONTRA O TERRENO,Voo a baixa altura,"A aeronave decolou de um heliponto não registrado, denominado 'Área Zulu', localizado no município de Boa Vista, RR (ZZZZ), com destino a uma área de pouso eventual, localizada na Serra dos Surucucus, município de Iracema, RR, tendo apenas o piloto a bordo, com a finalidade de realizar um voo de transporte de passageiro da área de pouso eventual para Boa Vista.Durante aproximação para pouso no destino, houve colisão do esqui da aeronave com a copa da vegetação e queda em meio à mata fechada.A aeronave teve danos substanciais.O piloto sofreu ferimentos leves.",20:07,Fora de Aeródromo,null,null,"2,57288",null,null,null,null,null,null,null,null,null,null,null,1,"-63,7887",PPCLD,R44 II,IRACEMA,ROBINSON HELICOPTER,202143203,26723,4,Voo Privado,BRAVO HELICOPTEROS ESC. DE AV. CIVIL LTD,BRAVO HELICOPTEROS ESC. DE AV. CIVIL LTD,1134,verdadeiro,Norte,R44,-,CFIT,RR
null,null,L1T,TPP,Acidente,Substancial,2020-10-16,COLISÃO COM FAUNA,Decolagem,"A aeronave decolaria da Área de Pouso para Uso Aeroagrícola Granja Santa Lourdes, município de Uruguaiana, RS, por volta das 14h30min (UTC), a fim de realizar voo local de pulverização, com um tripulante a bordo.Durante a corrida de decolagem, o piloto avistou a incursão de animais na pista e abortou a decolagem, contudo, houve a saída da pista pela lateral esquerda.A aeronave teve danos substanciais.O tripulante saiu ileso.",14:30:00,Fora de Aeródromo,null,1,"-29,9664",null,null,null,null,null,null,null,null,null,null,null,null,"-57,0433",PRWGC,AT-502B,URUGUAIANA,AIR TRACTOR,202048543,25924,1,Operação Agrícola,ANTONIO CEOLIN,ANTONIO CEOLIN,3629,verdadeiro,Sul,AT5T,-,WILD,RS
SBBU,SBBU,L1P,PRI,Acidente,Substancial,2020-09-11,FALHA OU MAU FUNCIONAMENTO DO MOTOR,Decolagem,"A AERONAVE DECOLOU DO AERÓDROMO DE BAURU (SBBU), BAURU, SP, A FIM DE REALIZAR VOO LOCAL DE INSTRUÇÃO, COM UM INSTRUTOR E UM ALUNO A BORDO. APÓS A DECOLAGEM, DURANTE CURVA A ESQUERDA, HOUVE PERDA DE POTÊNCIA DO MOTOR DA AERONAVE. A AERONAVE COLIDIU CONTRA O SOLO NAS MARGENS DA RODOVIA MARECHAL RONDON. A AERONAVE TEVE DANOS SUBSTANCIAIS. OS PILOTOS SOFRERAM LESÕES LEVES.",13:10,Fora de Aeródromo,null,2,"-22,34",null,null,null,null,null,null,null,null,null,null,null,null,"-49,04",PPFLJ,AB-115,BAURU,AERO BOERO,202093485,25346,3,Voo de Instrução,AEROCLUBE DE BAURU,AEROCLUBE DE BAURU,770,verdadeiro,Sudeste,AB11,-,SCF-PP,SP
SBRF,SBFZ,L2J,TPR,Incidente,Nenhum,2020-12-23,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,Decolagem,"A aeronave decolaria do Aeródromo Pinto Martins (SBFZ), Fortaleza, CE, com destino ao Aeródromo Guararapes - Gilberto Freyre (SBRF), Recife, PE, a fim de realizar transporte aéreo público regular, com seis tripulantes e cento e quarenta e nove passageiros a bordo. Durante a corrida de decolagem houve a indicação de parâmetros de velocidade diferentes no lado do copiloto (“V1 Inop” PFD). A tripulação efetuou os procedimentos previstos no QRH e abortou a corrida de decolagem. A desaceleração foi realizada normalmente e sem intercorrências. A aeronave não teve danos. Todos a bordo saíram ilesos.",18:30,SBFZ,149,6,"-3,77583",null,null,null,null,null,null,null,null,null,null,null,null,"-38,5322",PRYRA,A320-251N,FORTALEZA,AIRBUS S.A.S.,202063899,26543,183,Voo Regular,AZUL LINHAS AEREAS BRASILEIRAS S.A,AZUL,77000,verdadeiro,Nordeste,A20N,Público,SCF-NP,CE
SBCB,XXXX,H2T,TPX,Ocorrência Anormal,Nenhum,2014-09-01,null,Estacionamento,"A aeronave decolou da Unidade Marítima-SS87, com 18 pessoas a bordo, e com destino o Aeroporto de Cabo Frio.Durante os procedimentos para corte dos motores no box de estacionamento, teve seus flutuadores inflados.",17:45:00,null,18,3,"-22,9208",0,0,0,0,0,0,0,0,0,0,0,0,"-42,0714",PRPLL,EC 225 LP,CABO FRIO,EUROCOPTER FRANCE,1499/2014,5962,21,Táxi Aéreo,AEROLEO TAXI AEREO,AEROLEO TAXI AEREO,11000,verdadeiro,Sudeste,EC25,null,null,RJ
SWEI,SBTF,L2T,TPR,Ocorrência Anormal,Nenhum,2014-08-29,null,Subida,"Durante a subida do voo 2802, após passar para o modo CLIMB, a hélice atingiu 100%, portanto fora dos parâmetros esperados; foram seguidos os procedimentos previstos no QRH, porém a aeronave não retornou a condição normal de voo. Sendo assim, tripulação decidiu pelo retorno ao aeroporto de origem. Não foi declarada emergência e o pouso transcorreu sem intercorrências. Pax desembarcados sem intercorrência. Houve cancelamento dos voos AD 2802 (TFF/ERN) e AD 2875 (ERN/TFF).",13:28:00,null,27,4,"-3,38028",0,0,0,0,0,0,0,0,0,0,0,0,"-64,7253",PRTKC,ATR-42-500,TEFÉ,AEROSPATIALE AND ALENIA,1460/2014,6133,50,Voo Regular,AZUL,AZUL,18600,verdadeiro,Norte,AT45,null,null,AM
null,SBKP,null,TPR,Incidente,Leve,2020-03-23,COLISÃO COM AVE,Decolagem,"Durante a decolagem do Aeroporto de Viracopos (SBKP), em Campinas, SP, houve a colisão do motor n. 02 com um quero-quero.
A aeronave sofreu danos leves. Os tripulantes e passageiros saíram ilesos.",12:45:00,SBKP,0,0,"-23,3833",0,0,0,0,0,0,0,0,0,0,0,0,"-47,7856",PRGZS,null,CAMPINAS,null,PR-GZS 23MAR2020 12H45 CENIPA,11222,null,Voo Regular,GOL LINHAS AÉREAS,GOL,null,verdadeiro,Sudeste,null,Público,BIRD,SP
ZZZZ,SNYJ,L1P,TPP,Acidente,Substancial,2020-03-16,CONTATO ANORMAL COM A PISTA,Pouso,"A aeronave decolou do Aeródromo Pista São Jorge (SNYJ), Jacareacanga, PA, com destino à área de pouso não registrada, localizada na Comunidade Cabaçal, Jacareacanga, PA, por volta das 17h50min (UTC), a fim de realizar translado, com um piloto e dois passageiros a bordo. Durante o pouso na área de pouso não registrada da comunidade Cabaçal, aproximadamente às 18h19min (UTC), a aeronave perdeu o controle e pilonou. A aeronave teve danos substanciais. O tripulante e os passageiros sofreram lesões leves.",18:19:00,Aeródromo não cadastrado,0,0,"-7,21333",0,0,0,0,0,0,0,0,0,2,0,1,"-57,0678",PTBZK,182M,JACAREACANGA,CESSNA AIRCRAFT,202021174,11211,4,Voo Privado,KELSON KENNEDY ALVES DANTAS,KELSON KENNEDY ALVES DANTAS,1270,verdadeiro,Norte,C182,null,ARC,PA
SBJR,SDMC,L1P,TPP,Incidente Grave,Leve,2008-04-03,COMBUSTÍVEL,Em rota,"A AERONAVE DECOLOU DO AERÓDROMO DE MARICÁ, RJ (SDMC) COM DESTINO AO
AERÓDROMO DE JACAREPAGUÁ, RJ (SBJR) COM UM PILOTO E DOIS PASSAGEIROS.
DURANTE O VOO, EM CONDIÇÕES VISUAIS, APÓS TER EFETUADO CONTATO COM A TORRE DE CONTROLE (TWR) DE JACAREPAGUÁ, O PILOTO PERCEBEU A PERDA DE POTÊNCIA DO MOTOR, SENDO ESTA RAPIDAMENTE RESTAURADA POR MAIS ALGUNS SEGUNDOS DE VOO.
NESSE MOMENTO, O PILOTO GANHOU APROXIMADAMENTE 200 PÉS, VINDO NOVAMENTE A PERDER A POTÊNCIA DO MOTOR, DESSA VEZ DEFINITIVAMENTE.
DECLAROU EMERGÊNCIA E JULGANDO QUE NÃO SERIA POSSÍVEL O PLANEIO ATÉ O AERÓDROMO DE JACAREPAGUÁ (SBJR), DEVIDO À DISTÂNCIA, DECIDIU REALIZAR UM POUSO DE EMERGÊNCIA NA FAIXA DE AREIA DA PRAIA DA BARRA DA TIJUCA. O POUSO FOI REALIZADO COM SUCESSO.",18:30:00,null,2,1,"-23,0111",0,0,0,0,0,0,0,0,0,0,0,0,"-43,3322",PTDID,185A,RIO DE JANEIRO,CESSNA AIRCRAFT,200804035679306,11309,6,Voo Privado,MARCELO CANIZARES S. SEABRA,MARCELO CANIZARES S. SEABRA,1454,verdadeiro,Sudeste,C185,null,FUEL,RJ
SNCX,SNMX,L1P,PET,Acidente,Substancial,2020-04-21,PERDA DE CONTROLE EM VOO,Manobra,"A AERONAVE DECOLOU DO AERÓDROMO SÃO MATEUS (SNMX), SÃO MATEUS, ES, COM DESTINO AO AERÓDROMO COLATINA (SNCX), COLATINA, ES, A FIM DE REALIZAR UM VOO PRIVADO, COM UM TRIPULANTE E UM PASSAGEIRO A BORDO. PRÓXIMO À LOCALIDADE DE DESTINO, A PILOTO REALIZOU UMA PASSAGEM À BAIXA ALTURA EM UMA FAZENDA, COM CONSEQUENTE RECUPERAÇÃO ABRUPTA, PERDENDO O CONTROLE DA AERONAVE E VINDO A COLIDIR COM O SOLO. A AERONAVE TEVE DANOS SUBSTANCIAIS. O PILOTO E O PASSAGEIROS SOFRERAM LESÕES LEVES.",18:00:00,Fora de Aeródromo,0,0,"-18,3161",0,0,0,0,0,0,0,0,0,1,0,1,"-39,6664",PUDGH,BRAVO700,JAGUARÉ,AEROBRAVO INDÚSTRIA AERONÁUTICA LTDA,PU-DGH 21ABR2020 18H00 SERIPA3,11277,2,Voo de Instrução,AG ESCOLA DE AVIACAO LEVE LTDA,AG ESCOLA DE AVIACAO LEVE LTDA,600,falso,Sudeste,ULAC,-,LOC-I,ES
,,H1P,INDEFINIDA,Acidente,null,1999-05-19,null,null,"O helicóptero decolou da Fazenda Leda, no município de Campina do Monte Alegre - SP, decolagem esta realizada a baixa altura, vindo a colidir 200 adiante, com um pára-raios de uma linha de alta tensão, e terminando por cair em um pântano. O piloto faleceu no local e os dois outros ocupantes sofreram ferimentos graves. A aeronave teve perda total.",null,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,null,PTYLF,R44,null,ROBINSON HELICOPTER,/1999,4478,4,null,DESCONHECIDO,DESCONHECIDO,1088,verdadeiro,null,R44,null,null,Indeterminado
SBSP,SBSP,H2T,TPP,Ocorrência de Solo,Leve,2012-06-10,null,Operação de Solo,"Durante movimentação em solo (com trator) do helicóptero Agusta A-109E, o mesmo sofreu uma pequena avaria no estabilizador vertical por ter atingido a ponta da pá de um helicóptero que estava parado ao lado.O helicóptero ao lado era um Esquilo AS 350 B3 (PR-CAF) que não sofreu qualquer dano.",17:00:00,null,0,0,"-23,6261",0,0,0,0,0,0,0,0,0,0,0,0,"-46,6564",PPAGU,A109E,SÃO PAULO,AGUSTA,1592/2012,3339,7,Voo Privado,JHSF PARTICIPAÇÕES S/A,JHSF PARTICIPACOES S/A,2850,verdadeiro,Sudeste,A109,null,null,SP
SWUZ,SDXF,L1P,PRI,Acidente,Substancial,2012-09-12,PERDA DE CONTROLE NO SOLO,Decolagem,"A tripulação realizava um voo de instrução de navegação. As condições de voo eram visuais diurnas e, após o pouso na cabeceira 09, a aeronave prosseguiu para nova decolagem no sentido 27. Durante a decolagem e após a aeronave já ter saído do solo, o instrutor resolveu abortá-la uma vez que não atingiu os parâmetros para prosseguir em uma decolagem segura. Como não havia pista suficiente para a abortiva, a aeronave veio a ultrapassar os limites da mesma percorrendo cerca de 60 metros após a cabeceira da pista vindo a colidir com uma cerca.",12:00:00,null,0,2,"-14,2992",0,0,0,0,0,0,0,0,0,0,0,0,"-47,51",PPKBU,A-122-A,ALTO PARAÍSO,XAVANTE,1821/2012,3433,2,Voo de Instrução,AEROCLUBE DE BRASÍLIA,AEROCLUBE DE BRASILIA,840,verdadeiro,Centro-Oeste,A122,null,LOC-G,GO
SBKP,SBTE,L2J,TPR,Incidente,Nenhum,2012-08-19,FOGO/FUMAÇA,Táxi,"DURANTE O TAXI PARA DECOLAR DA RWY 20 THE, TWR AVISOU AO CMTE SOBRE A PRESENÇA DE FUMAÇA NO ESCAPAMENTO DO MOTOR 2 POR PROVÁVEL QUEIMA DE RESÍDUO DE ÓLEO EM CONTATO COM O ESCAPAMENTO. POR PREVEÇÃO O CMTE RESOLVEU RETORNAR PARA UMA INSPEÇÃO DA CONDIÇÃO REPORTADA. DURANTE O RETORNO, RECEBEU A INFORMAÇÃO DE QUE A FUMAÇA CONTINUAVA. POR ISSO RESOLVEU CORTAR O REFERIDO MOTOR. ESTA CONDIÇÃO PROPICIOU O AUMENTO DA PRESENÇA DE FUMAÇA O QUE FOI OBSERVADO QUANDO A AERONAVE JÁ ESTAVA PARADA NO GATE REALIZANDO O DESEMBARQUE.   ALÉM DISSO, O CONTATO DO OLEO COM O ESCAPAMENTO QUENTE PROVOCOU A SUA COMBUSTÃO, RESULTANDO EM CHAMA NA AREA DE ESCAPAMENTO O QUE É CONHECIDO COMO ENGINE TAIL PIPE FIRE. PREVENTIVAMENTE A TRIPULAÇÃO ACIONOU AS GARRFAS DE EXTINÇÃO, ACELEROU O DESMBARQUE QUE OCORRIA PELAS PORTAS PRINCIPAIS E  CHAMOU OS BOMBEIROS PARA VERIFICAR E DEBELAR A CHAMA REPORTADAASSIM COMO COMANDARAM AS GARRAFAS DE EXTIÇÃO POR GARANTIA. A AERONAVE FOI RECOLHIDA PARA AÇÕES MANUTENÇÃO.OBS: O EVENTO PROVOCOU O CANCELAMENTO DO VOO, LEVANDO A ACOMODAÇÃO DOS PASSAGEIROS EM OUTROS VOOS.",09:40:00,null,87,5,"-5,06056",0,0,0,0,0,0,0,0,0,0,0,0,"-42,8244",PRAZA,ERJ 190-100 IGW,null,EMBRAER,1654/2012,3387,112,Voo Regular,AZUL,AZUL,51800,verdadeiro,Nordeste,E190,null,F-NI,PI
